"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","date","RowId","y"
"51","admin.","married","high.school","no","yes","no","cellular","may","fri","514","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35025","no"
"33","technician","divorced","high.school","no","unknown","unknown","cellular","may","fri","224","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35026","no"
"50","admin.","married","professional.course","unknown","yes","yes","cellular","may","fri","151","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35027","no"
"32","admin.","divorced","high.school","no","no","no","cellular","may","fri","25","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35028","no"
"35","admin.","single","high.school","no","yes","no","cellular","may","fri","7","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35029","no"
"37","blue-collar","single","basic.6y","no","yes","no","cellular","may","fri","76","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35030","no"
"33","services","divorced","high.school","no","yes","no","cellular","may","fri","82","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35031","no"
"29","unemployed","married","university.degree","no","yes","yes","cellular","may","fri","298","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35032","no"
"28","self-employed","single","university.degree","no","no","no","cellular","may","fri","386","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35033","no"
"32","technician","single","university.degree","no","no","no","cellular","may","fri","457","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35034","no"
"32","admin.","single","university.degree","no","yes","no","cellular","may","fri","18","8","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35035","no"
"32","entrepreneur","married","university.degree","no","unknown","unknown","cellular","may","fri","416","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35036","no"
"30","blue-collar","single","basic.9y","no","no","no","cellular","may","fri","193","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35037","no"
"44","management","married","university.degree","no","no","no","cellular","may","fri","262","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35038","no"
"31","services","single","professional.course","no","yes","no","cellular","may","fri","22","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35039","no"
"30","management","single","university.degree","no","yes","no","cellular","may","fri","637","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35040","no"
"39","admin.","married","university.degree","no","yes","no","cellular","may","fri","45","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35041","no"
"55","housemaid","married","high.school","unknown","yes","no","cellular","may","fri","14","8","999","2","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35042","no"
"28","services","single","basic.9y","unknown","yes","no","telephone","may","fri","59","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35043","no"
"24","services","single","high.school","no","yes","no","cellular","may","fri","34","7","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35044","no"
"39","admin.","married","university.degree","no","no","no","cellular","may","fri","272","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35045","no"
"29","admin.","single","high.school","no","no","yes","cellular","may","fri","48","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35046","no"
"39","admin.","married","university.degree","no","no","no","cellular","may","fri","301","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35047","no"
"53","admin.","divorced","basic.9y","no","no","yes","cellular","may","fri","164","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35048","no"
"23","blue-collar","single","basic.4y","no","yes","no","cellular","may","fri","523","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35049","no"
"44","admin.","married","basic.9y","no","yes","no","cellular","may","fri","133","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35050","no"
"38","services","divorced","high.school","no","yes","no","cellular","may","fri","52","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35051","no"
"31","blue-collar","single","high.school","no","no","no","cellular","may","fri","325","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35052","no"
"48","blue-collar","married","basic.9y","no","yes","no","cellular","may","fri","36","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35053","no"
"48","blue-collar","married","basic.9y","no","no","yes","cellular","may","fri","56","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35054","no"
"36","admin.","married","university.degree","no","no","no","cellular","may","fri","174","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35055","no"
"48","admin.","married","high.school","no","no","no","cellular","may","fri","322","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35056","no"
"48","blue-collar","married","basic.9y","no","no","no","cellular","may","fri","333","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35057","no"
"48","blue-collar","married","basic.9y","no","no","no","cellular","may","fri","311","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35058","no"
"59","retired","divorced","basic.4y","no","no","no","cellular","may","fri","290","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35059","no"
"59","retired","divorced","basic.4y","no","yes","no","cellular","may","fri","27","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35060","no"
"58","management","married","university.degree","no","yes","yes","cellular","may","fri","256","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35061","no"
"26","technician","single","university.degree","no","yes","yes","cellular","may","fri","173","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35062","no"
"35","blue-collar","single","basic.9y","no","yes","no","cellular","may","fri","134","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35063","no"
"39","technician","married","unknown","no","yes","yes","cellular","may","fri","171","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35064","no"
"39","technician","married","unknown","no","yes","yes","cellular","may","fri","256","1","12","1","success","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35065","no"
"37","services","married","high.school","no","yes","no","telephone","may","fri","26","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35066","no"
"53","services","married","university.degree","no","no","yes","cellular","may","fri","74","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35067","no"
"34","blue-collar","married","basic.4y","unknown","yes","no","cellular","may","fri","285","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35068","no"
"25","blue-collar","single","basic.6y","unknown","yes","no","cellular","may","fri","109","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35069","no"
"41","blue-collar","married","high.school","no","yes","no","cellular","may","fri","239","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35070","no"
"24","technician","single","basic.9y","no","yes","no","cellular","may","fri","109","11","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35071","no"
"33","blue-collar","married","basic.9y","unknown","yes","no","cellular","may","fri","730","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35072","no"
"32","blue-collar","single","basic.6y","unknown","no","no","cellular","may","fri","19","6","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35073","no"
"57","management","married","basic.4y","unknown","yes","no","cellular","may","fri","10","5","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35074","no"
"37","blue-collar","married","basic.4y","no","yes","no","cellular","may","fri","178","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35075","no"
"31","technician","single","unknown","no","no","yes","cellular","may","fri","7","6","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35076","no"
"34","blue-collar","single","high.school","no","no","no","telephone","may","fri","71","5","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35077","no"
"33","admin.","single","high.school","no","no","no","cellular","may","fri","16","9","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35078","no"
"53","services","married","university.degree","no","no","no","telephone","may","fri","45","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35079","no"
"37","admin.","married","high.school","no","yes","no","cellular","may","fri","22","6","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35080","no"
"41","entrepreneur","divorced","unknown","no","no","no","cellular","may","fri","536","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35081","no"
"29","admin.","single","high.school","no","yes","no","cellular","may","fri","792","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35082","no"
"33","services","married","high.school","no","yes","no","cellular","may","fri","178","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35083","no"
"30","technician","married","basic.9y","no","yes","no","cellular","may","fri","41","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35084","no"
"47","services","married","high.school","no","yes","no","cellular","may","fri","142","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35085","no"
"53","admin.","married","high.school","no","yes","no","cellular","may","fri","45","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35086","no"
"41","blue-collar","married","basic.9y","unknown","yes","no","cellular","may","fri","10","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35087","no"
"33","services","married","high.school","no","unknown","unknown","cellular","may","fri","333","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35088","no"
"31","technician","married","professional.course","no","no","no","cellular","may","fri","166","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35089","no"
"41","management","married","university.degree","no","yes","no","cellular","may","fri","100","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35090","no"
"36","management","divorced","university.degree","no","unknown","unknown","cellular","may","fri","423","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35091","no"
"53","admin.","married","high.school","no","yes","no","cellular","may","fri","358","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35092","no"
"24","services","single","high.school","no","no","no","cellular","may","fri","576","4","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35093","no"
"34","services","divorced","high.school","no","yes","no","cellular","may","fri","84","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35094","no"
"34","services","divorced","high.school","no","no","no","cellular","may","fri","66","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35095","no"
"29","services","single","basic.9y","no","yes","no","cellular","may","fri","79","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35096","no"
"33","blue-collar","married","professional.course","no","yes","no","cellular","may","fri","669","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35097","no"
"53","admin.","married","high.school","no","no","no","cellular","may","fri","456","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35098","no"
"26","services","married","high.school","no","no","yes","cellular","may","fri","676","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35099","no"
"54","blue-collar","married","basic.4y","unknown","no","no","cellular","may","fri","87","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35100","no"
"27","services","single","high.school","no","no","no","cellular","may","fri","472","6","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35101","no"
"38","services","divorced","high.school","no","no","no","cellular","may","fri","78","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35102","no"
"37","unemployed","married","university.degree","no","yes","no","telephone","may","fri","354","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35103","no"
"36","management","married","university.degree","no","no","no","cellular","may","fri","117","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35104","no"
"32","blue-collar","married","basic.4y","no","no","no","cellular","may","fri","265","7","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35105","no"
"32","technician","single","university.degree","no","yes","yes","cellular","may","fri","693","5","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35106","no"
"36","entrepreneur","married","basic.9y","no","yes","no","cellular","may","fri","251","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35107","no"
"32","admin.","single","university.degree","no","yes","no","cellular","may","fri","98","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35108","no"
"30","unemployed","single","high.school","no","no","no","cellular","may","fri","13","11","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35109","no"
"23","technician","single","professional.course","no","unknown","unknown","cellular","may","fri","14","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35110","no"
"36","management","married","university.degree","no","no","no","cellular","may","fri","268","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35111","no"
"32","admin.","single","high.school","no","no","no","cellular","may","fri","144","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35112","no"
"49","entrepreneur","divorced","basic.9y","no","no","no","cellular","may","fri","166","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35113","no"
"31","admin.","single","university.degree","no","yes","yes","cellular","may","fri","138","4","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35114","no"
"30","technician","single","professional.course","no","no","no","cellular","may","fri","1015","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35115","no"
"54","blue-collar","married","basic.4y","no","yes","yes","cellular","may","fri","192","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35116","no"
"43","management","married","university.degree","no","yes","no","cellular","may","fri","663","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35117","no"
"44","entrepreneur","single","university.degree","no","yes","no","cellular","may","fri","210","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35118","no"
"38","services","married","basic.6y","unknown","yes","no","cellular","may","fri","119","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35119","no"
"54","retired","divorced","university.degree","no","yes","no","cellular","may","fri","133","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35120","no"
"48","services","married","basic.9y","unknown","no","no","cellular","may","fri","18","8","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35121","no"
"33","blue-collar","married","basic.9y","unknown","yes","no","cellular","may","fri","8","4","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35122","no"
"54","retired","divorced","university.degree","no","yes","yes","cellular","may","fri","261","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35123","no"
"37","services","married","high.school","no","yes","no","cellular","may","fri","81","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35124","no"
"30","services","single","high.school","no","yes","no","cellular","may","fri","65","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35125","no"
"29","technician","single","university.degree","no","yes","yes","cellular","may","fri","437","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35126","no"
"45","retired","married","basic.6y","unknown","no","yes","cellular","may","fri","102","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35127","no"
"34","admin.","single","high.school","no","yes","no","cellular","may","fri","217","6","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35128","no"
"37","blue-collar","married","basic.6y","no","no","no","cellular","may","fri","63","3","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35129","no"
"34","services","divorced","high.school","no","yes","yes","cellular","may","fri","562","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35130","no"
"30","blue-collar","single","basic.9y","no","yes","no","cellular","may","fri","74","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35131","no"
"32","services","single","unknown","no","yes","no","cellular","may","fri","189","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35132","no"
"27","services","single","high.school","no","no","no","cellular","may","fri","212","4","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35133","no"
"35","admin.","married","high.school","unknown","yes","no","cellular","may","fri","500","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35134","no"
"39","blue-collar","divorced","high.school","unknown","no","yes","cellular","may","fri","172","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35135","no"
"37","technician","single","professional.course","no","no","yes","cellular","may","fri","20","6","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35136","no"
"36","technician","divorced","professional.course","no","unknown","unknown","cellular","may","fri","327","3","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35137","no"
"34","admin.","married","university.degree","no","no","no","cellular","may","fri","16","7","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35138","no"
"39","admin.","married","university.degree","no","yes","no","cellular","may","fri","894","2","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35139","no"
"42","services","married","basic.9y","no","yes","no","cellular","may","fri","152","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35140","no"
"45","self-employed","divorced","university.degree","no","yes","no","cellular","may","fri","116","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35141","no"
"45","self-employed","divorced","university.degree","no","no","yes","cellular","may","fri","133","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35142","no"
"35","admin.","married","high.school","unknown","no","no","cellular","may","fri","585","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35143","no"
"42","management","married","university.degree","no","yes","no","cellular","may","fri","95","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35144","no"
"53","technician","divorced","professional.course","no","yes","no","cellular","may","fri","56","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35145","no"
"23","admin.","single","professional.course","no","no","no","cellular","may","fri","564","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35146","yes"
"53","technician","divorced","professional.course","no","yes","no","cellular","may","fri","188","1","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35147","no"
"22","services","married","high.school","no","yes","no","cellular","may","fri","48","7","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35148","no"
"27","blue-collar","married","unknown","unknown","yes","no","cellular","may","fri","79","4","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35149","no"
"40","management","divorced","university.degree","no","no","no","cellular","may","fri","342","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35150","no"
"32","admin.","single","professional.course","no","no","yes","cellular","may","fri","6","4","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35151","no"
"25","blue-collar","single","basic.9y","no","no","no","cellular","may","fri","170","2","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35152","no"
"28","admin.","single","university.degree","no","yes","no","cellular","may","fri","119","4","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35153","no"
"31","admin.","single","high.school","no","no","no","cellular","may","fri","80","4","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35154","no"
"36","technician","married","high.school","no","yes","yes","cellular","may","fri","659","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35155","no"
"49","self-employed","married","high.school","no","no","no","cellular","may","fri","532","3","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35156","no"
"39","technician","divorced","high.school","no","yes","no","telephone","may","fri","15","11","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35157","no"
"35","blue-collar","married","basic.6y","no","yes","no","cellular","may","fri","265","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35158","no"
"27","services","single","high.school","unknown","no","no","cellular","may","fri","54","5","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35159","no"
"39","management","married","university.degree","no","yes","no","cellular","may","fri","837","1","999","0","nonexistent","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35160","no"
"36","services","divorced","university.degree","no","no","no","cellular","may","fri","67","4","999","1","failure","-1.8","92.893","-46.2","1.25","5099.1","2017-05-10T10:00:00","35161","no"
